proto,maxIn,maxOut,numPkts,inSplit,outSplit,type
6,1500,589,969,0.7038183694530445,0.29618163054695545,2
6,1500,589,959,0.7580813347236707,0.24191866527632935,2
17,1245,1246,998,0.5220440881763532,0.47795591182364683,3
17,1241,1240,982,0.47250509164969395,0.527494908350306,3
17,1244,1246,995,0.5085427135678393,0.49145728643216063,3
17,1246,1226,996,0.7911646586345388,0.20883534136546122,3
17,1245,1241,980,0.8275510204081636,0.17244897959183636,3
17,1246,1242,1000,0.7070000000000003,0.29299999999999965,3
17,1243,1245,998,0.4549098196392788,0.5450901803607212,3
17,1246,1237,995,0.4592964824120601,0.5407035175879399,3
17,1230,1244,1000,0.5059999999999993,0.49400000000000066,3
17,1234,1246,960,0.48854166666666654,0.5114583333333335,3
17,1246,1246,996,0.5140562248995988,0.4859437751004012,3
17,1235,1234,995,0.4994974874371856,0.5005025125628144,3
17,1236,1236,996,0.4839357429718883,0.5160642570281118,3
